label,text,source,is_recruitment
0,"🌸 CẦN NGƯỜI LÀM CÁC VỊ TRÍ 🌸
✅ Công việc : • Chăm sóc khách hàng\n • Hỗ trợ tư vấn, giải đáp thắc mắc của khách hàng\n  • Lên đơn, báo giá\n 🕰 Thời gian :8h - 11h30 / 13h30 - 17h   ( có xoay ca )\n 💵   Tiền: 8.000.000 VN₫\n 📌Yêu cầu :  • Độ tuổi : 19 - 35\n • Thái độ tốt & muốn có công việc lâu dài 📞Liên hệ sđt : 0868.825.160",facebook.com,1
0,"🌸 BỔ SUNG CÁC VỊ TRÍ LÀM VIỆC 🌸
👉  PARTTIME + FULLTIME\n ✅ Công việc : • Chăm sóc khách hàng\n • Hỗ trợ tư vấn, giải đáp thắc mắc của khách hàng\n  • Lên đơn, báo giá\n 🕰 Thời gian :\n • Ca sáng :  8h - 11h30 💵\n • Ca chiều : 13h30 - 17h  💵\n   Parttime : 4,3tr\n   💵   Fulltime  : 8,5tr\n  📌Yêu cầu :  • Độ tuổi : 19 - 35\n • Thái độ tốt & muốn có công việc lâu dài 📞Liên hệ sđt : 0868.825.160",facebook.com,1
0,"🍁CẦN NGƯỜI PHỤ BÁN TẠI CỬA HÀNG 🍁
👉  PARTTIME + FULLTIME\n 🕰 Thời gian :\n • Ca sáng :  8h - 11h30 💵\n • Ca chiều : 13h30 - 17h  💵\n   📌Yêu cầu :  • Độ tuổi : 19 - 35\n • Thái độ tốt & muốn có công việc lâu dài 📞Liên hệ sđt : 0868.825.160",facebook.com,1
1,"MÌNH CẦN NGƯỜI PHỤ QUÁN CƠM
Địa chỉ: 67 phan đăng lưu// 232 hoàng diệu\n Part time : 7h- 13h hoặc 17h - 22h30\n Lương : 2.500k -3.300k/ tháng tùy vị trí ca.\n Yêu cầu:từ 18 -30 tuổi, nhanh nhẹn, chịu khó, không yêu cầu kinh nghiệm.\n  LH: 0905997901",facebook.com,1
0,"🌻🌻Chuỗi Thực phẩm Sạch Đà Nẵng Mở Rộng Chi Nhánh Cần người làm việc
✅ Bán hàng Tại Chỗ : 3 Người  Ưu tiên nhận Nữ\n *Công việc,báo giá, kiểm tra giao nhận hàng , hỗ trợ khách hàng\n ⏰ Thời gian: làm Giờ hành chính\n ( Sáng 8h đến - 16h30 chiều )\n 💲 Khởi điểm: 7.5 tr đến 9tr /tháng,\n        (Tùy vị trí công việc)\n * Yêu cầu:độ tuổi  23t - 55 t\n  không cần kinh nghiệm, cần chịu khó ,siêng năng , nhiệt tình\n ☎️ LIÊN HỆ SDT  0979.664.946  ( hoặc Zalo )",facebook.com,1
0,"Tuyển nhân viên làm lâu dài tại Đà Nẵng.
Tuổi 18 trở lên. Ib nhận việc hoặc liên hệ trực tiếp sđt và zalo: 0702539282",facebook.com,1
1,"Beer Bốc
Số 02 Lê Quang Đạo cần tuyển 1 NV phục vụ. Làm từ 16h đến 24h00.LH 0799 343 693 (Công) Lương+ăn tối+thưởng....",facebook.com,1
0,"PHỤ VIỆC TỪ HÔM NAY QUA LỄ 30/4-1/5
Tìm thêm 2-3 bạn trẻ nhiệt huyết, muốn học hỏi và làm việc nghiêm túc trong một môi trường trẻ, rõ ràng và hỗ trợ. Nếu bạn muốn một công việc có định hướng rõ ràng, team hỗ trợ và cơ hội phát triển thì Liên hệ: 0797039843 ( Thư )",facebook.com,1
1,"🍸 Cần người phụ bán với chị
🍸 Yêu cầu: Tuổi từ 20 trở lên, chăm chỉ, chịu khó.\n • 1 ca : 4.000.000 VNĐ • full 2 ca : 8,5.000.000 VNĐ+thưởng\n 🍸Thời gian : •Sáng : 8h - 11h30 •Chiều : 13h30 - 17h00\n 🍸 Khu vực: Hải Châu, Thanh Khê\n 🪐  phone: 0936847514",facebook.com,1
0,"khu Ngũ Hành Sơn
E cần 20 chị phụ e lấy hàng gia công về nhà làm (gần qua e lấy, xa em giao) Lương e trả trong ngày ạ",facebook.com,1
