title,label
"❤️‍🔥TÌM NGƯỜI BÁN HÀNG❤️‍🔥
🎯 Công việc. Bán hàng, kiểm đếm hàng, kiểm tra tem mác, hỗ trợ khách hàng 
🎯 Từ 25-50 tuổi. Ưu tiên làm lâu dài, có kinh nghiệm bán hàng càng tốt 
🥰 Tuần nghỉ 1 ngày
🥰 Làm từ 8h-16h30
🥰 9tr/tháng + thưởng nếu làm tốt 
☎️☎️ Cần việc ib trực tiếp hoặc liên hệ 0981857730",0
"Em là sinh viên muốn tìm việc làm thêm vào buổi chiều tối ở Ngũ Hành Sơn 
gần trường việt hàn , y dược ,fpt",0
"🍊🍊🍊KHỐI NHÀ HÀNG CỤM 43TOWN TUYỂN DỤNG 🍊🍊🍊
🔰VIETART F&B là đơn vị phát triển hệ thống The Cups coffee, B&B bakery, Ari sushi, lẩu hấp thủy nhiệt Ocean Pot, nướng Koko House, Le Four – Steak & Pizza, Hàng Gánh, Buffet hải sản 4SEAs, PocPoc Beer.....
🔥 VIETART ĐANG TÌM KIẾM  CÁC CỘNG SỰ CHO VỊ TRÍ:
 LỄ TÂN TẠI NHÀ HÀNG ( Ycầu giao tiếp ngoại ngữ: Anh - Hàn hoặc Anh - Nga )
🍎 PHÚC LỢI FULLTIME:
⛳️ Thời gian làm việc: 8 tiếng/ngày (theo ca: 8h-16h30 hoặc 14h – 22h30), tuần nghỉ 01 ngày
⛳️Phụ cấp cơm ca >500k/tháng, voucher chuyên cần 200k
⛳️Chế độ bảo hiểm, thưởng lễ tết, sinh nhật, lương tháng 13…
⛳️Review lương hàng năm, ưu đãi dịch vụ chuỗi hệ thống cho nhân viên
⛳️Nghỉ 01 ngày/tuần, 12 ngày phép/năm, mỗi 5 năm thêm 01 ngày phép
📋 Inbox trực tiếp và nhanh tay gửi CV vào mail: hr@vietartfb.vn hoặc call: 0941 016 464
📍 Địa điểm làm việc: 
Cụm 43Town -  268 Võ Nguyên Giáp, Mỹ An, Ngũ Hành Sơn, TP. Đà Nẵng.
Hàng Gánh - 51 Trần Bạch Đằng, Mỹ An, Ngũ Hành Sơn, TP. Đà Nẵng
👉 GỬI CV LIỀN CHO CHÚNG TÔI NHÉ ^^
-----------------------------------
VIETART F&B
Vietart tuyển dụng: https://www.facebook.com/tuyendungvietart",0
"🔥🔥 🔥đang cần gấp NỮ làm từ 8h-16h30
🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈
- công việc : phụ bán hàng , kiểm kê số lượng hàng
- công việc ưu tiên những chị nhiệt tình , vui vẻ , muốn làm lâu dài 
- nhận từ 22 đến 48 tuổi 
- thu nhập : 7 triệu 6 / tháng + thưởng
- nhận việc hôm nay gọi ngay : 0366245644",0
"📞 TUYỂN DỤNG NHÂN VIÊN GIẢI ĐÁP KHÁCH HÀNG TỔNG ĐÀI VIETTEL – ĐÀ NẴNG
📩 LIÊN HỆ ỨNG TUYỂN
📞 Điện thoại/Zalo: 0368.757.743
📧 Email: anhmn@callcenter.vn
📍 Địa điểm làm việc
Tầng 1, 215 Phan Đăng Lưu, Khuê Trung, Cẩm Lệ, Đà Nẵng.
📋 MÔ TẢ CÔNG VIỆC
Vị trí: Nhân viên Giải đáp Khách hàng Tổng đài Viettel
Nhiệm vụ chính:
Tiếp nhận cuộc gọi từ khách hàng Viettel.
Giải đáp các thắc mắc, hỗ trợ vấn đề dịch vụ.
Đặc điểm công việc:
Làm việc tại văn phòng 100%.
Không đi thị trường.
Không chạy doanh số.
⏰ THỜI GIAN LÀM VIỆC (THEO CA CỐ ĐỊNH)
Ca 1: 06h30 – 14h30
Ca 2: 14h30 – 22h30
(Làm cố định 1 ca/ngày, không xoay ca)
💰 THU NHẬP
6.000.000 – 9.000.000 VNĐ/tháng
(Thu nhập gồm: lương cứng + phụ cấp + thưởng hiệu quả)
✔️ YÊU CẦU ỨNG VIÊN
Tốt nghiệp Trung cấp trở lên.
Giọng nói rõ ràng, dễ nghe; xử lý tình huống tốt.
Không tuyển sinh viên đang học.",0
"🎯🎯 CẦN NGƯỜI - ĐI LÀM NGAY 🎯🎯
 🍀🍀VIỆC LÀM TẠI KHO TỔNG 🍀🍀
🔥 Công việc. Tư Vấn, Báo Giá, Theo Dõi , Xử Lý đơn hàng .
🥰Yêu cầu: 
👉 từ 22 - 56 tuổi (ko nhận sinh viên)
👉 chủ động, kiên trì, siêng năng 
👉 chiu khó, trách nhiệm với công việc 
🥰🥰 Quyền lợi.
💰💰 8-15trtr/tháng 
👉 Chế độ đầy đủ theo quy định nhà nước 
👉 Chủ nhật, lễ, tết được nghỉ 
Ứng viên quan tâm vui lòng liên hệ : 0376777698 (gặp c Hằng nhân sự)",0
"🔥🔥 GẦN TẾT CHỊ #CẦN NGƯỜI #BÁNHÀNG #TRỰC TIẾP TẠI HỘI AN . TUỔI 22T _50T
#ĐẶC BIỆT NỮ  .
  #THỜIGIAN 8H _17H .
  👉🏻THU NHẬP 7_8TR/THÁNG 
   ☎️ 0879212338 .
   💥GỌI TRỰC TIẾP!",0
"🏖️ KHÔNG CÒN LÀM VIỆC NHÀM CHÁN: VỪA KIẾM TIỀN VỪA NGẮM BIỂN ĐÀ NẴNG! ☀️
Bạn đang tìm kiếm một công việc Part-time hoặc Full-time có View đẹp và Thu nhập thực tế cao hơn lương cứng?
NHÀ HÀNG HẢI SẢN CAO CẤP ĂN THÔI (290 Võ Nguyên Giáp - Địa điểm đắc địa ngay mặt biển) đang mở cửa chào đón bạn!
🎯 CÔNG VIỆC LÝ TƯỞNG CÓ NHỮNG GÌ?
Vị trí làm việc: Hàng ngày được hít thở không khí biển, giảm stress tối đa.
Thu nhập đột phá: Lương cứng + Tips Khách Cao Cấp + Thưởng (Tổng thu nhập rất cạnh tranh).
Cơ hội học hỏi: Trau dồi kỹ năng giao tiếp và ngoại ngữ (tiếp xúc khách du lịch Quốc tế).
🛠️ CHÚNG TÔI CẦN BỔ SUNG GẤP:
VỊ TRÍ FULL TIME (7h/1 ngày)
 Phục Vụ (Server): 19 người
           Lương từ : 5.5tr/1 tháng (7h/1 ngày)
Tiếp Thực (Runner): 8 người
Lương: 5.5tr/1 tháng (7h/1 ngày)
Lễ Tân (Receptionist): 3 người (Yêu cầu ngoại hình + Tiếng Anh/Hàn cơ bản)
Lương từ : 5.5tr/1 tháng (7h/1 ngày)
Pha Chế : 4 người
Lương từ: 5.5/1 tháng (7h/1 ngày)
CÁC VỊ TRÍ PART - TIME : lương từ 28.000 VNĐ/giờ. Phù hợp cho sinh viên muốn ""cày"" thêm thu nhập ổn định.
📩 ĐỂ LẠI DẤU CHÂN CỦA BẠN TRÊN BÃI BIỂN NÀY!
Đừng bỏ lỡ cơ hội làm việc trong môi trường 5 sao ngay tại Đà Nẵng.
Liên hệ (Zalo/SĐT) : 0795.718.374 (Phòng HCNS)
Hoặc gửi CV về Email: hr.vietnamtreasure@gmail.com
#ViệcLàmPartTimeĐàNẵng #TuyểnDụngĐàNẵng #JobViewBiển #LàmThêmLươngCao #ĂnThôiHảiSản",0
"AM coffee cần tuyển:
-SL 2 Nam phục vụ
- ca sáng 6:00-11:30
- ca tối 17h-22h30 ( bắt đầu làm từ 01-12-25 )
Yêu cầu: Nhanh nhẹn, tự giác, siêng năng
Lương khởi điểm19k/1h
Đc:65 Châu thị vĩnh tế-Ngũ hành sơn-Đn
Ibox hoặc zl:0775860107",0
"Cần người phụ làm rau quán bánh xèo, từ 07h00-11h30, làm luôn, tại 15 nguyễn đình chiểu, dt 0905604031",0
