text,is_recruitment,cat_reason,label,legit_reason
"🍊🍊🍊KHỐI NHÀ HÀNG CỤM 43TOWN TUYỂN DỤNG 🍊🍊🍊
🔰VIETART F&B là đơn vị phát triển hệ thống The Cups coffee, B&B bakery, Ari sushi, lẩu hấp thủy nhiệt Ocean Pot, nướng Koko House, Le Four – Steak & Pizza, Hàng Gánh, Buffet hải sản 4SEAs, PocPoc Beer.....
🔥 VIETART ĐANG TÌM KIẾM  CÁC CỘNG SỰ CHO VỊ TRÍ:
 LỄ TÂN TẠI NHÀ HÀNG ( Ycầu giao tiếp ngoại ngữ: Anh - Hàn hoặc Anh - Nga )
🍎 PHÚC LỢI FULLTIME:
⛳️ Thời gian làm việc: 8 tiếng/ngày (theo ca: 8h-16h30 hoặc 14h – 22h30), tuần nghỉ 01 ngày
⛳️Phụ cấp cơm ca >500k/tháng, voucher chuyên cần 200k
⛳️Chế độ bảo hiểm, thưởng lễ tết, sinh nhật, lương tháng 13…
⛳️Review lương hàng năm, ưu đãi dịch vụ chuỗi hệ thống cho nhân viên
⛳️Nghỉ 01 ngày/tuần, 12 ngày phép/năm, mỗi 5 năm thêm 01 ngày phép
📋 Inbox trực tiếp và nhanh tay gửi CV vào mail: hr@vietartfb.vn hoặc call: 0941 016 464
📍 Địa điểm làm việc: 
Cụm 43Town -  268 Võ Nguyên Giáp, Mỹ An, Ngũ Hành Sơn, TP. Đà Nẵng.
Hàng Gánh - 51 Trần Bạch Đằng, Mỹ An, Ngũ Hành Sơn, TP. Đà Nẵng
👉 GỬI CV LIỀN CHO CHÚNG TÔI NHÉ ^^
-----------------------------------
VIETART F&B
Vietart tuyển dụng: https://www.facebook.com/tuyendungvietart",1,Tin đăng có tiêu đề 'KHỐI NHÀ HÀNG CỤM 43TOWN TUYỂN DỤNG' và mô tả chi tiết về các vị trí tuyển dụng.,1,"Tin tuyển dụng từ công ty có địa chỉ cụ thể, mô tả rõ ràng về vị trí và chế độ phúc lợi."
"🔥🔥 🔥đang cần gấp NỮ làm từ 8h-16h30
🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈
- công việc : phụ bán hàng , kiểm kê số lượng hàng
- công việc ưu tiên những chị nhiệt tình , vui vẻ , muốn làm lâu dài 
- nhận từ 22 đến 48 tuổi 
- thu nhập : 7 triệu 6 / tháng + thưởng
- nhận việc hôm nay gọi ngay : 0366245644",1,"Tin đăng tuyển dụng nhân viên bán hàng với mô tả công việc cụ thể, thu nhập và số điện thoại liên hệ.",0,"Văn phong thiếu chuyên nghiệp ('🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈'), thiếu địa chỉ cụ thể, xưng hô 'chị' mồi chài."
"Quán Rainy coffee địa chỉ 336 Đoàn Khuê Tuyển nhân viên phục vụ
 -Số lượng :3 bạn,xoay ca cho sinh viên
- Độ tuổi: Trên 18 tuổi
-Yêu cầu: vui vẻ,siêng năng và có trách nhiệm
-Làm tốt có thưởng
-Lương 17 đến 20k 
-Lương nhận theo tuần hoặc theo tháng
-Lương ngày lễ x2, tết x3
-Alo:0911430043
         0942872618",1,Tin tuyển dụng nhân viên phục vụ tại quán Rainy coffee,1,Tin tuyển dụng quán cafe có địa chỉ cụ thể.
"Bên mình cần lao động phổ thông Nam/Nữ. Làm việc tại công trình. Công việc nhẹ nhàng. Lương trả cuối ngày.
Ai cần ib cho mình nha.
Cảm ơn admin đã duyệt bài !",1,"Mô tả công việc lao động phổ thông, lương trả cuối ngày. Mục đích bài đăng là tìm người làm việc.",0,"Việc nhẹ nhàng, lương trả cuối ngày, thiếu địa chỉ cụ thể, xưng hô 'mình' không chuyên nghiệp."
"📌 FPT Software Đà Nẵng 📌
Hỗ trợ onboard 2026 🔥
Bên Nhàn đang cần: #AI, Java, #Angular, DevOps, #Tester, PM, #BA, BrSE, #Automotive,...  💥 Từ 3 năm KN trở lên 💥 Tiếng Anh/Nhật cơ bản - khá - tốt 🔥💚",1,Tin đăng tuyển dụng với các vị trí công việc cụ thể và yêu cầu kinh nghiệm.,1,"Tin tuyển dụng từ công ty FPT Software Đà Nẵng, có nhóm kỹ thuật cụ thể. Mức lương không được nêu rõ nhưng phù hợp với ngành IT."
"🚀 Tuyển dụng Project Manager – Automotive Projects- Chuyển vùng ĐN gói 90-100M
🔍 Mô tả công việc:
Lập kế hoạch, triển khai và giám sát tiến độ các dự án Automotive từ khởi đầu đến bàn giao.
Quản lý phạm vi dự án, ngân sách, nguồn lực và rủi ro.
Làm việc trực tiếp với khách hàng để thu thập yêu cầu, xử lý vấn đề và đảm bảo sự hài lòng.
Phối hợp với các bên liên quan để đảm bảo vận hành dự án trơn tru.
Hiểu biết về tiêu chuẩn chất lượng và quy trình trong ngành Automotive (ASPICE, ISO26262).
Báo cáo định kỳ tình trạng dự án cho quản lý và khách hàng.
✅ Yêu cầu:
Tốt nghiệp đại học chuyên ngành liên quan đến điện tử hoặc hệ thống nhúng.
Có kinh nghiệm làm Project Manager trong lĩnh vực Automotive hoặc phần mềm nhúng.
Kỹ năng giao tiếp, lãnh đạo và sử dụng thành thạo công cụ quản lý (JIRA, MS Project).
Tiếng Nhật (JLPT N3+) hoặc tiếng Anh (TOEIC 700+) là lợi thế.
Chứng chỉ PMP là một điểm cộng.",1,Văn bản mô tả rõ ràng một vị trí việc làm Project Manager với yêu cầu kỹ năng và kinh nghiệm cụ thể.,1,"Tin tuyển dụng công ty/quán xá trong lĩnh vực Automotive, có yêu cầu rõ ràng về kinh nghiệm và kỹ năng."
"Fsoft  đang tuyển BA, Comtor, Brse, PM từ 1 năm kinh nghiệm. Các bạn chuyển ngành vẫn có thể apply nhé. Tiếng Nhật giao tiếp tốt là ok (N2+)
( làm việc tại Đà Nẵng/ Huế/Quy Nhơn,Nha Trang, HCM, HN). Các bạn senior có thể làm remote nhé",1,"Tin đăng tuyển dụng nhân viên với các vị trí BA, Comtor, Brse, PM từ 1 năm kinh nghiệm.",1,Tin tuyển dụng từ công ty Fsoft có địa chỉ làm việc cụ thể tại nhiều thành phố lớn. Mức lương không được nêu rõ nhưng phù hợp với thị trường.
"Fsoft Quy Nhơn đang tuyển Java Developer từ 2 năm kinh nghiệm ,không yêu cầu cao về ngoại ngữ, nếu giao tiếp tốt tiếng anh là điểm cộng. Tin tuyển dụng cuối năm, các bạn quan tâm inb mình tư vấn thêm nha.",1,Tin đăng có thông tin tuyển Java Developer với yêu cầu kinh nghiệm và điểm cộng giao tiếp tiếng Anh.,1,"Tin tuyển dụng từ công ty Fsoft Quy Nhơn, có yêu cầu kinh nghiệm rõ ràng. Mức lương ở Việt Nam rất đa dạng nên không đánh giá cao về mức lương."
"Tuyển Senior Backend Dev (Node.js/TypeScript/NestJs)
💰 Upto 60M (có thể deal) + 100% probation + 1 tháng signing bonus
Công ty weblife Nhật Bản
Nhắn em xem JD nhé",1,Văn bản chứa từ khóa 'Tuyển' và mô tả vị trí công việc cụ thể.,1,"Việc công ty weblife Nhật Bản, có yêu cầu JD. Mức lương cao nhưng không quá bất thường."
"🚀 5 JOB MỚI SIÊU HOT TẠI KAOPIZ ĐÀ NẴNG 🥰
🎯 Fresher/ Junior/ Middle .Net Developer Đà Nẵng
💡 Yêu cầu:
👉 Tốt nghiệp Đại học chuyên ngành CNTT
👉Có ít nhất 6 tháng kinh nghiệm làm dự án thực tế bằng .NET
👉Biết viết Unit Test bằng C# – bonus điểm nếu bạn “quen mặt” MSTest / xUnit / NUnit
👉Đọc hiểu và làm việc được với source code C#
📄 JD đầy đủ tại đây: https://tuyendung.kaopiz.com/jobs/detail/fresher-junior-middle-net-developer-da-nang-da-nang
🎯 Fresher/Junior Web Developer
💘 Thiên về Frontend Developer
💡 Yêu cầu:
👉 Tốt nghiệp Đại học chuyên ngành CNTT
👉Tối thiểu 1 năm kinh nghiệm Frontend (Angular, VueJS, ReactJS)
👉Sử dụng thành thạo ES5, ES6.
📄 JD đầy đủ tại đây: https://tuyendung.kaopiz.com/jobs/detail/fresher-junior-frontend-developer-da-nang
💘 Thiên về Backend Developer
👉Tốt nghiệp Đại học chuyên ngành CNTT.
👉Sử dụng thành thạo với một trong các ngôn ngữ PHP, Java.
👉Tối thiểu 1 năm kinh nghiệm Backend
👉Có kiến thức nền tảng tốt về OOP, Web Development, DBMS, ORM
📄 JD đầy đủ tại đây: https://tuyendung.kaopiz.com/jobs/detail/fresher-junior-backend-developer-da-nang
🎯 Team leader
👉Có từ 3 năm kinh nghiệm làm việc với ngôn ngữ lập trình: Java, PHP, Ruby, …
👉Đã từng làm Team Leader/ Sub Leader dự án tối thiểu từ 3 developer trở lên.
👉Thành thạo sử dụng một trong các Framework: Laravel, Spring Boot, CakePHP, Yii, Ruby on Rails, …
📄 JD đầy đủ tại đây: https://tuyendung.kaopiz.com/jobs/detail/team-leader-da-nang
🎯 BrSE onsite Nhật Bản
👉Có thể onsite tại Nhật Bản từ 1 đến 3 năm theo yêu cầu của dự án.
👉Có khả năng trao đổi trực tiếp với khách hàng bằng tiếng Nhật.
👉Sử dụng tốt tiếng Nhật chuyên ngành.
👉Tối thiểu 3 năm kinh nghiệm làm việc với khách hàng Nhật trong các dự án phần mềm.
👉Có kinh nghiệm thực tế về xử lý batch xử lý nghiệp vụ khách hàng và batch hệ thống (system batch, maintenance batch…)
👉Có kinh nghiệm tuning Database và tuning hệ thống, tối ưu truy vấn, cấu hình tài nguyên, và cải thiện tốc độ xử lý.
📄 JD đầy đủ tại đây: https://tuyendung.kaopiz.com/jobs/detail/brse-onsite-nhat-ban-da-nang
Chi tiết vui lòng liên hệ trực tiếp qua Facebook hoặc gửi vào email anhhm@kaopiz.com để nhận tư vấn nhé 🥰",1,Tin đăng tuyển dụng nhiều vị trí công việc khác nhau tại Kaopiz Đà Nẵng.,1,"Tin tuyển dụng từ công ty Kaopiz có địa chỉ rõ ràng, mô tả công việc cụ thể và liên kết đến trang web chính thức."
